 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.065,0,0,0,0,0,13.950,0.180,13.950,0.180,0.869,13.860,0.000,0.180,0.360,0.406,0.203,90.000,1.000,0.402,0,0,NaN,NaN,100,0,1,77,0,116.565,0.180,2.000,0.500,1.000
2,0.583,0,0,0,0,0,20.030,1.130,20.030,1.130,5.215,19.620,0.000,1.080,1.980,1.709,0.435,118.175,0.270,2.255,0,0,NaN,NaN,100,0,1,109,0,118.610,0.717,3.931,0.254,0.500
3,0.097,0,0,0,0,0,21.510,0.090,21.510,0.090,1.124,21.240,0.000,0.540,0.180,0.609,0.203,0.000,0.967,0.569,0,0,NaN,NaN,100,0,1,118,0,161.565,0.180,3.000,0.333,1.000
4,0.907,0,0,0,0,0,32.271,0.251,32.271,0.251,4.556,31.320,0.000,1.980,0.540,2.082,0.555,179.225,0.549,2.052,0,0,NaN,NaN,100,0,1,174,0,164.745,0.540,3.753,0.266,0.875
5,0.648,0,0,0,0,0,47.727,0.747,47.727,0.747,3.793,47.520,0.000,0.540,1.620,1.792,0.460,85.986,0.566,1.708,0,0,NaN,NaN,100,0,1,264,9,71.565,0.540,3.894,0.257,0.851
6,49.280,0,0,0,0,0,135.828,0.981,135.828,0.981,81.939,121.319,0.000,31.680,3.420,27.286,2.300,1.536,0.092,31.742,0,0,NaN,NaN,100,0,1,674,0,176.424,3.420,11.866,0.084,0.594
7,0.032,0,0,0,0,0,166.949,0.090,166.949,0.090,0.509,166.859,0.000,0.180,0.180,0.203,0.203,0.000,1.000,0.255,0,0,NaN,NaN,100,0,1,927,0,135.000,0.180,1.000,1.000,1.000
8,1149.793,0,0,0,0,0,154.664,84.692,154.664,84.692,917.185,114.299,0.000,77.399,180.179,80.979,18.078,65.406,0.017,186.665,0,0,NaN,NaN,100,0,1,708,1001,74.851,54.123,4.479,0.223,0.162
9,1.328,0,0,0,0,0,177.999,1.170,177.999,1.170,5.935,177.479,0.000,1.080,2.340,2.405,0.703,102.419,0.474,2.507,0,0,NaN,NaN,100,0,1,986,0,111.038,0.960,3.420,0.292,0.701
10,0.162,0,0,0,0,0,224.728,0.450,224.728,0.450,1.949,224.638,0.000,0.180,0.900,1.016,0.203,90.000,0.536,0.918,0,0,NaN,NaN,100,0,1,1248,0,101.310,0.180,5.000,0.200,1.000
11,0.065,0,0,0,0,0,231.748,0.180,231.748,0.180,0.869,231.658,0.000,0.180,0.360,0.406,0.203,90.000,1.000,0.402,0,0,NaN,NaN,100,0,1,1287,0,116.565,0.180,2.000,0.500,1.000
12,0.486,0,0,0,0,0,240.028,0.450,240.028,0.450,4.029,239.578,0.000,0.900,1.260,1.001,0.618,73.155,0.376,1.451,0,0,NaN,NaN,100,0,1,1331,7,60.255,0.900,1.619,0.618,0.566
13,1.264,0,0,0,0,0,241.334,1.396,241.334,1.396,7.207,240.838,0.000,0.900,2.880,2.497,0.644,92.701,0.306,2.930,0,0,NaN,NaN,100,0,1,1339,0,100.620,0.900,3.875,0.258,0.595
14,0.162,0,0,0,0,0,255.472,0.162,255.472,0.162,1.273,255.238,0.000,0.540,0.360,0.566,0.364,18.435,1.000,0.649,0,0,NaN,NaN,100,0,1,1418,2,33.690,0.360,1.553,0.644,0.909
15,0.162,0,0,0,0,0,260.512,0.162,260.512,0.162,1.273,260.278,0.000,0.540,0.360,0.566,0.364,18.435,1.000,0.649,0,0,NaN,NaN,100,0,1,1446,2,33.690,0.360,1.553,0.644,0.909
16,0.778,0,0,0,0,0,14.115,0.997,14.115,0.997,5.513,13.320,0.180,1.440,1.440,1.125,0.880,171.918,0.322,1.698,0,0,NaN,NaN,100,0,1,74,6,32.005,1.309,1.279,0.782,0.495
17,0.130,0,0,0,0,0,16.065,0.315,16.065,0.315,1.273,15.840,0.180,0.540,0.360,0.574,0.287,18.435,1.000,0.649,0,0,NaN,NaN,100,0,1,88,3,33.690,0.360,2.000,0.500,0.800
18,0.065,0,0,0,0,0,62.999,0.270,62.999,0.270,0.764,62.819,0.180,0.360,0.180,0.406,0.203,0.000,1.000,0.402,0,0,NaN,NaN,100,0,1,349,1,153.435,0.180,2.000,0.500,1.000
19,0.065,0,0,0,0,0,252.718,0.450,252.718,0.450,0.764,252.538,0.360,0.360,0.180,0.406,0.203,0.000,1.000,0.402,0,0,NaN,NaN,100,0,1,1403,2,153.435,0.180,2.000,0.500,1.000
20,0.032,0,0,0,0,0,261.628,0.450,261.628,0.450,0.509,261.538,0.360,0.180,0.180,0.203,0.203,0.000,1.000,0.255,0,0,NaN,NaN,100,0,1,1453,2,135.000,0.180,1.000,1.000,1.000
